stage,tokens,component,latency
(a) Prefill Latency,100K,Non-Attention,0.58
(a) Prefill Latency,100K,Attention,0.42
(a) Prefill Latency,200K,Non-Attention,0.50
(a) Prefill Latency,200K,Attention,0.50
(a) Prefill Latency,300K,Non-Attention,0.44
(a) Prefill Latency,300K,Attention,0.56
(a) Prefill Latency,400K,Non-Attention,0.34
(a) Prefill Latency,400K,Attention,0.66
(b) Decode Latency,100K,Non-Attention,0.58
(b) Decode Latency,100K,Attention,0.42
(b) Decode Latency,200K,Non-Attention,0.52
(b) Decode Latency,200K,Attention,0.48
(b) Decode Latency,300K,Non-Attention,0.48
(b) Decode Latency,300K,Attention,0.52
(b) Decode Latency,400K,Non-Attention,0.40
(b) Decode Latency,400K,Attention,0.60
