head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7
0.480387,0.303605,0.602306,0.818314,0.464882,0.801087,0.091704,0.149218
0.922608,0.003446,0.965810,0.965942,0.000133,0.953353,0.905910,0.190830
0.251391,0.942354,0.060032,0.965942,0.187914,0.965942,0.706732,0.079380
0.965942,0.143917,0.264113,0.087066,0.965942,0.459316,0.585476,0.238007
0.584681,0.125629,0.307050,0.132255,0.965942,0.681951,0.912006,0.524119
0.177843,0.543069,0.965942,0.117281,0.467665,0.683806,0.237212,0.461834
0.563742,0.134641,0.042009,0.289955,0.965545,0.354492,0.848396,0.807050
0.711635,0.234296,0.203021,0.180493,0.071031,0.710443,0.850914,0.124834
0.878346,0.288497,0.965147,0.193215,0.143387,0.161543,0.209382,0.227538
0.185396,0.301749,0.111847,0.347601,0.164856,0.160217,0.508746,0.502253
0.902332,0.585608,0.217996,0.864299,0.247548,0.095680,0.159290,0.631063
0.127352,0.524251,0.159422,0.434137,0.099523,0.444076,0.148556,0.578717
0.241717,0.139412,0.173337,0.210840,0.037238,0.312351,0.090379,0.170554
0.348794,0.613570,0.224887,0.207130,0.508084,0.223032,0.491916,0.965942
0.169229,0.244633,0.056454,0.309435,0.832229,0.521601,0.062417,0.452425
0.849457,0.109329,0.263186,0.076729,0.460906,0.175722,0.193480,0.957196
0.742248,0.127087,0.129738,0.040419,0.315796,0.838457,0.224755,0.106016
0.089849,0.175325,0.509807,0.157037,0.141532,0.132123,0.553803,0.176120
0.091969,0.209647,0.158097,0.065730,0.122449,0.291413,0.012589,0.133978
0.342168,0.152266,0.149483,0.604161,0.074477,0.130533,0.026504,0.080970
0.289822,0.045322,0.097403,0.372250,0.140737,0.191227,0.427644,0.027697
0.494699,0.010072,0.191095,0.087331,0.044659,0.287172,0.135436,0.104559
0.158892,0.241585,0.114498,0.328386,0.031540,0.102306,0.078452,0.187649
0.180625,0.232176,0.047840,0.194408,0.021336,0.087066,0.130930,0.004506
0.057911,0.045852,0.012059,0.208057,0.144447,0.174662,0.507554,0.034455
0.365889,0.310496,0.017625,0.288630,0.070501,0.078717,0.027829,0.020806
0.867479,0.198251,0.104956,0.493639,0.111715,0.047177,0.062152,0.154386
0.022263,0.822157,0.021203,0.242115,0.083090,0.504506,0.107474,0.816724
0.133183,0.004771,0.061224,0.217466,0.225815,0.169494,0.244765,0.216539
0.008746,0.011397,0.501723,0.012324,0.271932,0.849324,0.032335,0.116088
0.319640,0.200636,0.507554,0.521203,0.674795,0.204877,0.717466,0.448449
0.066790,0.147495,0.044792,0.129738,0.220117,0.285979,0.041346,0.113570
