tokens,method,component,latency
200K,Vanilla,Non-Attention,4.97098999999999
200K,Vanilla,Attention,39.63594
200K,WG-KV,Non-Attention,5.16691
200K,WG-KV,Attention,9.66816
300K,Vanilla,Non-Attention,6.96665000000002
300K,Vanilla,Attention,90.39356
300K,WG-KV,Non-Attention,7.2605
300K,WG-KV,Attention,22.11831
400K,Vanilla,Non-Attention,10.1669
400K,Vanilla,Attention,160.32054
400K,WG-KV,Non-Attention,10.47109
400K,WG-KV,Attention,39.62996
500K,Vanilla,Non-Attention,NA
500K,Vanilla,Attention,NA
500K,WG-KV,Non-Attention,12.22763
500K,WG-KV,Attention,62.72309
