tokens,method,component,size
200K,Vanilla,Model Weights,14.957529296875
200K,Vanilla,KV Cache,24.439716796875
200K,WG-KV,Model Weights,15.020517578125
200K,WG-KV,KV Cache,6.134248046875
300K,Vanilla,Model Weights,14.957529296875
300K,Vanilla,KV Cache,36.652705078125
300K,WG-KV,Model Weights,15.020517578125
300K,WG-KV,KV Cache,9.188193359375
400K,Vanilla,Model Weights,14.957529296875
400K,Vanilla,KV Cache,48.865703125
400K,WG-KV,Model Weights,15.020517578125
400K,WG-KV,KV Cache,12.240361328125
500K,Vanilla,Model Weights,NA
500K,Vanilla,KV Cache,NA
500K,WG-KV,Model Weights,15.020517578125
500K,WG-KV,KV Cache,15.296259765625
