lambda,threshold,distill_loss,kv_size
0.02,0.01,0.00395149232354015,0.63871194422245
0.02,0.02,0.00404886264150264,0.63185128569603
0.02,0.04,0.00417393336538225,0.624715524911881
0.02,0.1,0.00434957628167467,0.614294600486755
0.02,0.2,0.00452596500254003,0.605064192414284
0.02,0.4,0.00584702069099876,0.588930207490921
0.02,0.6,0.0101419612758036,0.5761549025774
0.02,0.8,0.0131601890607271,0.551647174358368
0.04,0.01,0.00706493459583726,0.506127852201462
0.04,0.02,0.00729437235640944,0.498065069317818
0.04,0.04,0.00756433440546971,0.489396211504936
0.04,0.1,0.00802083052331,0.475967362523079
0.04,0.2,0.00847904736801866,0.463443702459335
0.04,0.4,0.0144937723118346,0.446632367372513
0.04,0.6,0.0157179947418626,0.426471108198166
0.04,0.8,0.0403474432139774,0.388110053539276
0.08,0.01,0.0136428159545176,0.370875260233879
0.08,0.02,0.0141590537561569,0.3611622184515
0.08,0.04,0.0146645440268912,0.350807836651802
0.08,0.1,0.0157178964931518,0.334477123618126
0.08,0.2,0.0166455492930254,0.318049305677414
0.08,0.4,0.027626887113729,0.293633985519409
0.08,0.6,0.0404163217259338,0.266483640670776
0.08,0.8,0.357022606115788,0.229561936855316
0.16,0.01,0.0244011083996156,0.279030984640121
0.16,0.02,0.0254668946290622,0.267998048663139
0.16,0.04,0.0266584567929385,0.255848428606987
0.16,0.1,0.0286655107775005,0.236014443635941
0.16,0.2,0.0318017647718079,0.215393766760826
0.16,0.4,0.0458974974608282,0.183713927865028
0.16,0.6,0.0783538096118718,0.153115054965019
0.16,0.8,0.427432367298752,0.126796248555183
0.32,0.01,0.0403401237708749,0.206596475839615
0.32,0.02,0.0419135221105535,0.194688761234283
0.32,0.04,0.0438080673862714,0.18147451877594
0.32,0.1,0.0478087768540718,0.159193113446236
0.32,0.2,0.0551805841794703,0.136022076010704
0.32,0.4,0.0831799120584037,0.103912398219109
0.32,0.6,0.139059654530138,0.082015398144722
0.32,0.8,0.694841957744211,0.0663795500993729
0.64,0.01,0.065405092947185,0.14979607462883
0.64,0.02,0.0685711387952324,0.137225723266602
0.64,0.04,0.072373361454811,0.122881281375885
0.64,0.1,0.0807168691768311,0.098569530248642
0.64,0.2,0.0958554558455944,0.0750254184007645
0.64,0.4,0.145184032560792,0.0485665559768677
0.64,0.6,0.453275026706979,0.0351185172796249
0.64,0.8,0.749340061005205,0.0269519865512848
1.28,0.01,0.108906363288406,0.109117704629898
1.28,0.02,0.112903984566219,0.0965432733297348
1.28,0.04,0.118235329992604,0.0821988850831985
1.28,0.1,0.131113675632514,0.0594469130039215
1.28,0.2,0.150590512854978,0.0400524616241455
1.28,0.4,0.207347822398879,0.0229766696691513
1.28,0.6,0.279377332213335,0.016407236456871
1.28,0.8,0.813593806233257,0.0130039036273956
2.56,0.01,0.150698532699607,0.0753228902816772
2.56,0.02,0.154897287115455,0.0638615846633911
2.56,0.04,0.160345425456762,0.0514376372098923
2.56,0.1,0.173713955492713,0.0333921700716019
2.56,0.2,0.199637916032225,0.02020363509655
2.56,0.4,0.260266746603884,0.011131951212883
2.56,0.6,0.330397601099685,0.00825625956058502
2.56,0.8,1.00334650054574,0.00681664943695068
