lambda,threshold,distill_loss,kv_size
0.08,0.1,0.0144631697286968,0.388436838984489
0.08,0.3,0.0156838634764426,0.377923902869225
0.08,0.5,0.0165171266489779,0.369727855920792
0.08,0.7,0.0176232524143416,0.361373400688171
0.08,0.9,0.0205212098793709,0.349897480010986
0.16,0.1,0.0275061374413781,0.235784494876862
0.16,0.3,0.0294557454064488,0.227916714549065
0.16,0.5,0.0308785130328033,0.221944746375084
0.16,0.7,0.0324576688813977,0.215890127420425
0.16,0.9,0.0343518983310787,0.20794423520565
0.32,0.1,0.0418561016966123,0.147017279267311
0.32,0.3,0.0448169240087736,0.141496914625168
0.32,0.5,0.0467708982701879,0.137331730127335
0.32,0.7,0.0489266348944511,0.133185815811157
0.32,0.9,0.0529582152783405,0.12776717543602
0.64,0.1,0.0694501914083958,0.0903866291046143
0.64,0.3,0.0735836139007006,0.0865608155727387
0.64,0.5,0.07606439772062,0.0837107598781586
0.64,0.7,0.0786379840283189,0.0808836817741394
0.64,0.9,0.0855399410414975,0.0772044986486435
1.28,0.1,0.111754838051274,0.0452496916055679
1.28,0.3,0.116268178855535,0.0427752524614334
1.28,0.5,0.119197681639344,0.0409766167402268
1.28,0.7,0.122838649025653,0.039198300242424
1.28,0.9,0.136325899651274,0.0369845986366272
