lambda,threshold,distill_loss,kv_size
0.16,0.01,0.00877467011596309,0.862274873256683
0.16,0.02,0.0101840116461972,0.845337328314781
0.16,0.04,0.0119443297910038,0.82475580573082
0.16,0.1,0.0157332067727111,0.786599957942963
0.16,0.2,0.0238539905112702,0.734831020236015
0.16,0.4,0.690662682056427,0.587916049361229
0.16,0.6,5.8369176119566,0.444371235370636
0.16,0.8,7.24269018769264,0.365958642959595
0.32,0.01,0.0156050054734806,0.811548745632172
0.32,0.02,0.0186330913711572,0.785278335213661
0.32,0.04,0.0229140899260528,0.752799531817436
0.32,0.1,0.034352931578178,0.689133760333061
0.32,0.2,1.61636514291167,0.584833246469498
0.32,0.4,4.09807752817869,0.384065613150597
0.32,0.6,6.93570364266634,0.263119459152222
0.32,0.8,8.15960789620876,0.214883038401604
0.64,0.01,0.0326937205856666,0.733478203415871
0.64,0.02,0.0402771139575634,0.694822350144386
0.64,0.04,0.0512951814685948,0.646087834239006
0.64,0.1,0.114601125358604,0.54158476293087
0.64,0.2,1.64171120636165,0.387890332937241
0.64,0.4,5.53105410784483,0.179829877614975
0.64,0.6,8.23419724553824,0.101257812976837
0.64,0.8,9.28554644882679,0.0740211755037308
1.28,0.01,0.0611473070690408,0.649095994234085
1.28,0.02,0.0773125772946514,0.598481786251068
1.28,0.04,0.102027710434049,0.532871022820473
1.28,0.1,1.76313488893211,0.386625635623932
1.28,0.2,2.31723947934806,0.224209901690483
1.28,0.4,6.2130133703351,0.08584164083004
1.28,0.6,8.09553382843733,0.0472774177789688
1.28,0.8,8.53748913109303,0.0348026871681213
2.56,0.01,0.0333864679269027,0.770305100083351
2.56,0.02,0.0668443546514027,0.659763556718826
2.56,0.04,0.160700756195001,0.508634996414185
2.56,0.1,0.675935064908117,0.263639158010483
2.56,0.2,3.88745483309031,0.109230265021324
2.56,0.4,6.84679927229881,0.0305514335632324
2.56,0.6,8.98997097909451,0.00958154201507568
2.56,0.8,9.15792679488659,0.00506060719490051
