tokens,method,component,size
200K,Full,Model Weights,7.492431640625
200K,Full,KV Cache,27.494677734375
200K,WG-KV,Model Weights,7.51900390625
200K,WG-KV,KV Cache,6.9001171875
300K,Full,Model Weights,7.492431640625
300K,Full,KV Cache,41.234296875
300K,WG-KV,Model Weights,7.51900390625
300K,WG-KV,KV Cache,10.33884765625
400K,Full,Model Weights,7.492431640625
400K,Full,KV Cache,54.973916015625
400K,WG-KV,Model Weights,7.51900390625
400K,WG-KV,KV Cache,13.76970703125
500K,Full,Model Weights,7.492431640625
500K,Full,KV Cache,68.713525390625
500K,WG-KV,Model Weights,7.51900390625
500K,WG-KV,KV Cache,17.2049609375
